gate,family,source,metric,n,ours,expected,tol,verdict,why
"sae_smoke64 2M enc, old primary mu-none bo1 median ratio",sae/sae2m/enc,2026-09-10_rl-8x2048-full@vllm:mu-none,ratio.bo1.median,—,—,0.1000,0.0800,absent,no `ratio.bo1.median` for family `sae/sae2m/enc` on `2026-09-10_rl-8x2048-full@vllm:mu-none` in this run (the family or the best-of-k is not present on this set)
"sae_smoke64 2M enc, NLA bo1 median ratio",sae/sae2m/enc,2026-07-14_nla-av,ratio.bo1.median,—,—,0.2400,0.1000,absent,no `ratio.bo1.median` for family `sae/sae2m/enc` on `2026-07-14_nla-av` in this run (the family or the best-of-k is not present on this set)
"old primary mu-none, realact mean cos (2026-09-21 v1raw smoke, n=4)",realact,rl-8x2048-full:mu-none,cos_raw.bo1,—,—,0.8760,0.0005,absent,`set: 2026-09-21_v1raw` — this run is `2026-09-21_v3_realact`
"old primary mu-stats, realact mean cos (2026-09-21 v1raw smoke, n=4)",realact,rl-8x2048-full:mu-stats,cos_raw.bo1,—,—,0.8989,0.0005,absent,`set: 2026-09-21_v1raw` — this run is `2026-09-21_v3_realact`
"old primary mu-stats, realact bo4 (v1raw smoke)",realact,rl-8x2048-full:mu-stats,cos_raw.bo4,—,—,0.9339,0.0005,absent,`set: 2026-09-21_v1raw` — this run is `2026-09-21_v3_realact`
"old primary mu-none, realact bo4 (v1raw smoke)",realact,rl-8x2048-full:mu-none,cos_raw.bo4,—,—,0.9034,0.0005,absent,`set: 2026-09-21_v1raw` — this run is `2026-09-21_v3_realact`
"rl-last16 realact mean centred cos (v1raw smoke, n=4)",realact,rl-last16,cos_centred.bo1,—,—,0.7518,0.0005,absent,`set: 2026-09-21_v1raw` — this run is `2026-09-21_v3_realact`
"eval1 rl-last16, realact mean cos_raw (n = 486)",realact,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw.bo1,486,0.8860,0.8860,0.0005,pass,|0.8860 − 0.8860| = 0.0000 vs tol 0.0005
"eval1 rl-last16, realact mean cos_centred (n = 486)",realact,2026-09-18_rl-last16-lr5e-7@vllm,cos_centred.bo1,486,0.7590,0.7590,0.0005,pass,|0.7590 − 0.7590| = 0.0000 vs tol 0.0005
"eval1 rl-last16, ours realact mean cos_raw (n = 506)",realact,rl-last16,cos_raw.bo1,—,—,0.8884,0.0005,absent,`set: 2026-09-21_v3_ours` — this run is `2026-09-21_v3_realact`
"eval1 rl-last16, ours realact mean cos_centred (n = 506)",realact,rl-last16,cos_centred.bo1,—,—,0.7668,0.0005,absent,`set: 2026-09-21_v3_ours` — this run is `2026-09-21_v3_realact`
"eval1 old primary mu-stats, realact mean cos_raw (n = 486)",realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw.bo1,486,0.8881,0.8881,0.0005,pass,|0.8881 − 0.8881| = 0.0000 vs tol 0.0005
"eval1 old primary mu-none, realact mean cos_raw (n = 486)",realact,2026-09-10_rl-8x2048-full@vllm:mu-none,cos_raw.bo1,486,0.8830,0.8830,0.0005,pass,|0.8830 − 0.8830| = 0.0000 vs tol 0.0005
"eval1 old primary mu-stats, realact bo64 (n = 486)",realact,2026-09-10_rl-8x2048-full@vllm:mu-stats,cos_raw.bo64,486,0.9322,0.9322,0.0005,pass,|0.9322 − 0.9322| = 0.0000 vs tol 0.0005
"eval1 rl-last16, subspace/bsf mean cos_raw",bsf,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw.bo1,—,—,0.3177,0.0005,absent,no `cos_raw.bo1` for family `bsf` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"eval1 rl-last16, subspace/jlens mean cos_raw",jlens,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw.bo1,—,—,0.1058,0.0005,absent,no `cos_raw.bo1` for family `jlens` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"eval1 rl-last16, realact_long mean cos_raw",realact_long,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw.bo1,—,—,0.4360,0.0005,absent,no `cos_raw.bo1` for family `realact_long` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"eval1 rl-last16, ctrl/random mean cos_raw",random,2026-09-18_rl-last16-lr5e-7@vllm,cos_raw.bo1,—,—,0.0338,0.0005,absent,no `cos_raw.bo1` for family `random` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"eval1 NLA, realact mean cos_raw (n = 486)",realact,2026-07-14_nla-av,cos_raw.bo1,486,0.8075,0.8075,0.0005,pass,|0.8075 − 0.8075| = 0.0000 vs tol 0.0005
"eval1 rl-last16, 2M enc median bo1 ratio (512 features)",sae/sae2m/enc,2026-09-18_rl-last16-lr5e-7@vllm,ratio.bo1.median,—,—,0.2390,0.0020,absent,no `ratio.bo1.median` for family `sae/sae2m/enc` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"eval1 rl-last16, 131k median bo1 ratio (512 features)",sae/l42-1b,2026-09-18_rl-last16-lr5e-7@vllm,ratio.bo1.median,—,—,0.7190,0.0020,absent,no `ratio.bo1.median` for family `sae/l42-1b` on `2026-09-18_rl-last16-lr5e-7@vllm` in this run (the family or the best-of-k is not present on this set)
"eval1 old primary mu-none, 2M enc median bo1 ratio",sae/sae2m/enc,2026-09-10_rl-8x2048-full@vllm:mu-none,ratio.bo1.median,—,—,0.0950,0.0020,absent,no `ratio.bo1.median` for family `sae/sae2m/enc` on `2026-09-10_rl-8x2048-full@vllm:mu-none` in this run (the family or the best-of-k is not present on this set)
"eval1 NLA, 2M enc median bo1 ratio",sae/sae2m/enc,2026-07-14_nla-av,ratio.bo1.median,—,—,0.2330,0.0020,absent,no `ratio.bo1.median` for family `sae/sae2m/enc` on `2026-07-14_nla-av` in this run (the family or the best-of-k is not present on this set)
"old primary, sae rows, v1raw vs v1 on the shared rows",sae/l42-1b,rl-8x2048-full:mu-none,cos_raw.bo1,—,—,—,0.0100,absent,`set: 2026-09-21_v1raw` — this run is `2026-09-21_v3_realact`
"old primary, realact rows, v1raw vs v1 on the shared rows",realact,rl-8x2048-full:mu-stats,cos_raw.bo1,—,—,—,—,absent,`set: 2026-09-21_v1raw` — this run is `2026-09-21_v3_realact`
"rl-last16, ctrl sae rows, v3_ctrl vs the 131k rows of v1raw",sae/l42-1b,rl-last16,cos_raw.bo1,—,—,—,—,absent,`set: 2026-09-21_v3_ctrl` — this run is `2026-09-21_v3_realact`
"old primary v1 realact mean cos, 0.5076",—,—,—,—,—,0.5076,—,absent,"`source: rl-8x2048-full` matched 2 of the sources present (2026-09-10_rl-8x2048-full@vllm:mu-none, 2026-09-10_rl-8x2048-full@vllm:mu-stats, 2026-07-14_nla-av, 2026-09-18_rl-last16-lr5e-7@vllm)"
